Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
33 1016.13 804.00 85.941331 74.6009 0.0870874 11.7492 0.195477 0 0.453072 0 0.0193528 0 0 0.38452 4.27296 4.52663 0 3.71078
29 556.45 852.70 85.610308 75.379 0.0874241 11.948 0.189377 0 0.460993 0 0.0194276 0 0 0.398266 4.36149 4.55577 0 2.60025
32 862.90 819.00 86.302717 74.7743 0.0867227 11.8521 0.192509 0 0.453109 0 0.0192717 0 0 0.39507 4.3265 4.51922 0 3.38122
31 1322.58 810.00 87.130293 74.0641 0.085899 11.7395 0.18831 0 0.450939 0 0.0190887 0 0 0.391318 4.28541 4.47629 0 4.29916
21 1169.35 840.00 86.854289 74.2994 0.086172 11.7768 0.18324 0 0.457472 0 0.0191493 0 0 0.392561 4.29903 4.49052 0 3.99561
32 250.00 890.70 80.683727 76.6835 0.0927623 11.67 0.195379 0 0.494146 0 0.0206138 0 0 0.360981 4.14596 4.73896 0 1.59769
35 709.68 830.20 84.727422 75.2239 0.0883351 11.7798 0.194717 0 0.462767 0 0.01963 0 0 0.380409 4.26883 4.5797 0 3.00194
9 403.23 876.00 85.207325 75.7355 0.0878376 12.0045 0.186999 0 0.466119 0 0.0195195 0 0 0.400149 4.38212 4.57732 0 2.13993
32 1322.58 807.00 87.131881 74.0627 0.0858975 11.7393 0.189068 0 0.450245 0 0.0190883 0 0 0.391311 4.28533 4.47621 0 4.30083
34 1016.13 805.00 86.276195 74.5567 0.0867494 11.7803 0.194511 0 0.4515 0 0.0192776 0 0 0.389093 4.29247 4.51491 0 3.71449
33 862.90 818.00 86.038132 74.8087 0.0869894 11.8274 0.193307 0 0.454317 0 0.019331 0 0 0.39142 4.3111 4.52839 0 3.37902
30 556.45 852.70 85.610308 75.379 0.0874241 11.948 0.189377 0 0.460993 0 0.0194276 0 0 0.398266 4.36149 4.55577 0 2.60025
22 1169.35 837.00 86.856441 74.2976 0.0861699 11.7765 0.183913 0 0.456851 0 0.0191489 0 0 0.392552 4.29892 4.49041 0 3.99792
33 1322.58 804.00 87.133412 74.0614 0.085896 11.7391 0.189836 0 0.449543 0 0.019088 0 0 0.391304 4.28525 4.47613 0 4.30243
36 709.68 829.20 84.415468 75.2651 0.0886616 11.75 0.195624 0 0.464309 0 0.0197026 0 0 0.376571 4.24977 4.59062 0 2.99966
34 1322.58 801.00 87.134885 74.0601 0.0858945 11.7389 0.190614 0 0.448833 0 0.0190877 0 0 0.391297 4.28518 4.47606 0 4.30397
10 403.23 873.00 84.457980 75.8321 0.0886169 11.933 0.189137 0 0.469823 0 0.0196927 0 0 0.391092 4.33687 4.60251 0 2.13722
23 1169.35 834.00 86.858566 74.2958 0.0861678 11.7763 0.184595 0 0.456222 0 0.0191484 0 0 0.392542 4.29881 4.4903 0 4.0002
33 250.00 889.70 80.413182 76.7206 0.0930744 11.6424 0.196179 0 0.49568 0 0.0206832 0 0 0.358552 4.12757 4.74839 0 1.59687
