Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
35 1016.13 806.00 13.411981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
31 556.45 851.70 14.698059 1.27903 0 0.397925 0 0 0 0 0 0 0 0.0298471 0.187311 0.0328124 0 98.0731
35 1322.58 798.00 12.880412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
24 1169.35 831.00 13.155463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
34 862.90 818.10 13.945736 1.0565 0 0.330723 0 0 0 0 0 0 0 0.0263296 0.155132 0.0255406 0 98.4058
11 403.23 874.00 15.249978 1.87682 0 0.581159 0 0 0 0 0 0 0 0.0415319 0.274349 0.050185 0 97.176
37 709.68 828.20 15.910557 7.5122 0 2.33319 0 0 0 0 0 0 0 0.17204 1.10381 0.188965 0 88.6898
36 1322.58 795.00 12.879131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
25 1169.35 828.00 13.153458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
35 862.90 818.20 13.912920 0.909133 0 0.284624 0 0 0 0 0 0 0 0.0226844 0.133487 0.0219716 0 98.6281
34 250.00 888.70 19.870504 15.1714 0 4.62941 0 0 0 0 0 0 0 0.279278 2.21706 0.438276 0 77.2646
36 1016.13 805.00 13.740618 1.51051 0 0.473631 0 0 0 0 0 0 0 0.038293 0.222047 0.035774 0 97.7197
12 403.23 875.00 14.939331 0.568079 0 0.176061 0 0 0 0 0 0 0 0.0126985 0.0830166 0.0151547 0 99.145
36 862.90 818.30 13.880081 0.760977 0 0.238269 0 0 0 0 0 0 0 0.0190107 0.111729 0.0183856 0 98.8516
35 250.00 887.70 20.135727 15.8367 0 4.82993 0 0 0 0 0 0 0 0.289467 2.31458 0.458191 0 76.2711
38 709.68 827.20 16.217518 8.58404 0 2.66363 0 0 0 0 0 0 0 0.19455 1.26171 0.216442 0 87.0796
37 1016.13 805.10 13.707009 1.35932 0 0.426276 0 0 0 0 0 0 0 0.0345036 0.199812 0.0321833 0 97.9479
26 1169.35 825.00 13.151486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
37 1322.58 792.00 12.877916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
32 556.45 850.70 15.011527 2.59668 0 0.807081 0 0 0 0 0 0 0 0.0599498 0.380404 0.0667819 0 96.0891
13 403.23 876.00 14.808638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
36 250.00 886.70 20.398312 16.4785 0 5.02315 0 0 0 0 0 0 0 0.299109 2.40869 0.477472 0 75.313
37 862.90 818.40 13.847221 0.612029 0 0.191654 0 0 0 0 0 0 0 0.0153083 0.0898559 0.0147826 0 99.0764
27 1169.35 822.00 13.149547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
39 709.68 826.20 16.521932 9.60825 0 2.97875 0 0 0 0 0 0 0 0.215545 1.4127 0.242831 0 85.5419
38 1016.13 805.20 13.673378 1.20729 0 0.378648 0 0 0 0 0 0 0 0.0306835 0.177456 0.0285751 0 98.1773
37 250.00 885.70 20.658279 17.0981 0 5.20945 0 0 0 0 0 0 0 0.308237 2.49957 0.496148 0 74.3885
14 403.23 875.00 14.939331 0.568079 0 0.176061 0 0 0 0 0 0 0 0.0126985 0.0830166 0.0151547 0 99.145
40 709.68 825.20 16.823774 10.5878 0 3.27954 0 0 0 0 0 0 0 0.235141 1.55719 0.268196 0 84.0722
38 1322.58 789.00 12.876769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
33 556.45 849.70 15.322522 3.85139 0 1.19593 0 0 0 0 0 0 0 0.0879862 0.564397 0.0992926 0 94.201
38 862.90 818.50 13.814338 0.462282 0 0.144779 0 0 0 0 0 0 0 0.0115768 0.0678676 0.0111624 0 99.3023
39 1016.13 805.30 13.639725 1.05443 0 0.330746 0 0 0 0 0 0 0 0.0268325 0.15498 0.0249493 0 98.4081
28 1169.35 819.00 13.147643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
38 250.00 884.70 20.915650 17.6966 0 5.38919 0 0 0 0 0 0 0 0.316883 2.58736 0.514248 0 73.4958
39 1322.58 786.00 12.875692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
34 556.45 848.70 15.631015 5.04734 0 1.56586 0 0 0 0 0 0 0 0.114121 0.739891 0.130436 0 92.4023
41 709.68 824.20 17.123025 11.5253 0 3.56688 0 0 0 0 0 0 0 0.253444 1.69558 0.292593 0 82.6662
40 1016.13 805.40 13.606050 0.900721 0 0.282568 0 0 0 0 0 0 0 0.0229502 0.132381 0.0213057 0 98.6401
29 1169.35 816.00 13.145775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
39 862.90 818.60 13.781434 0.311731 0 0.0976402 0 0 0 0 0 0 0 0.00781613 0.0457631 0.00752494 0 99.5295
39 250.00 883.70 21.170445 18.2749 0 5.56268 0 0 0 0 0 0 0 0.325077 2.67221 0.531797 0 72.6334
42 709.68 823.20 17.419668 12.4234 0 3.84162 0 0 0 0 0 0 0 0.270551 1.82822 0.316077 0 81.3202
40 1322.58 783.00 13.850417 4.39887 0 1.37962 0 0 0 0 0 0 0 0.111788 0.648266 0.101554 0 93.3599
