Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
33 1016.13 804.00 100.016831 64.5214 0.0748315 10.227 0.167967 0 0.389311 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
32 862.90 819.00 100.016645 64.5215 0.0748316 10.227 0.166113 0 0.390981 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
29 556.45 852.70 100.016243 64.5217 0.0748319 10.227 0.1621 0 0.394594 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
31 1322.58 810.00 100.016438 64.5216 0.0748318 10.227 0.164048 0 0.39284 0 0.0166293 0 0 0.3409 3.73327 3.89957 0 16.6293
21 1169.35 840.00 100.015945 64.5219 0.0748321 10.2271 0.159127 0 0.397271 0 0.0166294 0 0 0.340902 3.73329 3.89959 0 16.6294
32 250.00 890.70 100.015794 64.522 0.0748323 10.2271 0.157614 0 0.398632 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
35 709.68 830.20 100.016529 64.5216 0.0748317 10.227 0.164951 0 0.392026 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
9 403.23 876.00 100.015964 64.5219 0.0748321 10.2271 0.159311 0 0.397104 0 0.0166294 0 0 0.340902 3.73329 3.89959 0 16.6294
32 1322.58 807.00 100.016505 64.5216 0.0748317 10.227 0.164711 0 0.392242 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
34 1016.13 805.00 100.016813 64.5214 0.0748315 10.227 0.167788 0 0.389472 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
33 862.90 818.00 100.016663 64.5215 0.0748316 10.227 0.16629 0 0.390821 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
30 556.45 852.70 100.016243 64.5217 0.0748319 10.227 0.1621 0 0.394594 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
22 1169.35 837.00 100.016004 64.5219 0.0748321 10.2271 0.159715 0 0.396741 0 0.0166294 0 0 0.340902 3.73329 3.89958 0 16.6294
33 1322.58 804.00 100.016572 64.5215 0.0748317 10.227 0.165383 0 0.391637 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
36 709.68 829.20 100.016545 64.5215 0.0748317 10.227 0.16511 0 0.391884 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
34 1322.58 801.00 100.016640 64.5215 0.0748316 10.227 0.166064 0 0.391025 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
23 1169.35 834.00 100.016064 64.5219 0.0748321 10.227 0.160311 0 0.396204 0 0.0166293 0 0 0.340902 3.73329 3.89958 0 16.6293
10 403.23 873.00 100.016004 64.5219 0.0748321 10.2271 0.159716 0 0.39674 0 0.0166294 0 0 0.340902 3.73329 3.89958 0 16.6294
33 250.00 889.70 100.015805 64.522 0.0748322 10.2271 0.157729 0 0.398529 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
35 1016.13 806.00 100.016795 64.5214 0.0748315 10.227 0.167609 0 0.389633 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
35 1322.58 798.00 100.016710 64.5214 0.0748316 10.227 0.166753 0 0.390404 0 0.0166292 0 0 0.340899 3.73326 3.89956 0 16.6292
31 556.45 851.70 100.016258 64.5217 0.0748319 10.227 0.162245 0 0.394463 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
24 1169.35 831.00 100.016124 64.5218 0.074832 10.227 0.160914 0 0.395661 0 0.0166293 0 0 0.340901 3.73329 3.89958 0 16.6293
34 862.90 818.10 100.016661 64.5215 0.0748316 10.227 0.166273 0 0.390836 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
11 403.23 874.00 100.015992 64.5219 0.0748321 10.2271 0.15959 0 0.396853 0 0.0166294 0 0 0.340902 3.73329 3.89958 0 16.6294
37 709.68 828.20 100.016561 64.5215 0.0748317 10.227 0.165268 0 0.391741 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
36 1322.58 795.00 100.016780 64.5214 0.0748315 10.227 0.167451 0 0.389775 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
25 1169.35 828.00 100.016186 64.5218 0.074832 10.227 0.161526 0 0.39511 0 0.0166293 0 0 0.340901 3.73328 3.89958 0 16.6293
